"OriginalValue" "OriginalMeaning" "RecodedValue" "RecodedMeaning"
"300" "Europe" "300" "Europe"
"301" "Akrotiri and Dhekelia" "301" "Akrotiri and Dhekelia"
"302" "Albania" "302" "Albania"
"303" "Armenia" "303" "Armenia"
"304" "Austria" "304" "Austria"
"305" "Azerbaijan" "305" "Azerbaijan"
"306" "Belarus" "306" "Belarus"
"307" "Belgium" "307" "Belgium"
"308" "Bosnia and Herzegovina" "308" "Bosnia and Herzegovina"
"309" "Bulgaria" "309" "Bulgaria"
"310" "Crete" "310" "Crete"
"311" "Croatia" "311" "Croatia"
"312" "Cyprus" "312" "Cyprus"
"313" "Czech Republic" "313" "Czech Republic"
"314" "Denmark" "314" "Denmark"
"315" "Estonia" "315" "Estonia"
"316" "Faroe Islands" "316" "Faroe Islands"
"317" "Finland" "317" "Finland"
"318" "France" "318" "France"
"319" "Georgia" "319" "Georgia"
"320" "Germany" "320" "Germany"
"321" "Gibraltar" "321" "Gibraltar"
"322" "Greece" "322" "Greece"
"323" "Hungary" "323" "Hungary"
"324" "Iceland" "324" "Iceland"
"325" "Isle of Man" "325" "Isle of Man"
"326" "Italy" "326" "Italy"
"327" "Kazakhstan" "327" "Kazakhstan"
"328" "Latvia" "328" "Latvia"
"329" "Lithuania" "329" "Lithuania"
"330" "Luxembourg" "330" "Luxembourg"
"331" "Macedonia" "331" "Macedonia"
"332" "Madeira" "332" "Madeira"
"333" "Malta" "333" "Malta"
"334" "Moldova" "334" "Moldova"
"335" "Monaco" "335" "Monaco"
"336" "Netherlands" "336" "Netherlands"
"337" "Netherlands Antilles" "337" "Netherlands Antilles"
"338" "Norway" "338" "Norway"
"339" "Poland" "339" "Poland"
"340" "Portugal" "340" "Portugal"
"341" "Republic of Kosovo" "341" "Republic of Kosovo"
"342" "Romania" "342" "Romania"
"343" "Russia" "343" "Russia"
"344" "Serbia" "344" "Serbia"
"345" "Serbia/Montenegro" "345" "Serbia/Montenegro"
"346" "Sicily" "346" "Sicily"
"347" "Slovakia" "347" "Slovakia"
"348" "Slovenia" "348" "Slovenia"
"349" "Spain" "349" "Spain"
"350" "Sweden" "350" "Sweden"
"351" "Switzerland" "351" "Switzerland"
"352" "Turkey" "352" "Turkey"
"353" "Ukraine" "353" "Ukraine"
"354" "United Kingdom" "354" "United Kingdom"
"355" "Channel Islands" "355" "Channel Islands"
"356" "Ireland" "356" "Ireland"
"400" "North America" "400" "North America"
"401" "Anguilla" "401" "Anguilla"
"402" "Antigua and Barbuda" "402" "Antigua and Barbuda"
"403" "Aruba" "403" "Aruba"
"404" "Bahamas" "404" "Bahamas"
"405" "Barbados" "405" "Barbados"
"406" "Belize" "406" "Belize"
"407" "Bermuda" "407" "Bermuda"
"409" "Canada" "409" "Canada"
"410" "Costa Rica" "410" "Costa Rica"
"413" "El Salvador" "413" "El Salvador"
"416" "Guatemala" "416" "Guatemala"
"421" "Mexico" "421" "Mexico"
"424" "Nicaragua" "424" "Nicaragua"
"426" "Panama" "426" "Panama"
"427" "Puerto Rico" "427" "Puerto Rico"
"434" "USA" "434" "USA"
"500" "Oceania" "500" "Oceania"
"501" "Samoa" "501" "Samoa"
"502" "Australia" "502" "Australia"
"503" "Fiji" "503" "Fiji"
"505" "New Zealand" "505" "New Zealand"
"506" "Pacific Islands" "506" "Pacific Islands"
"600" "South America" "600" "South America"
"601" "Argentina" "601" "Argentina"
"602" "Bolivia" "602" "Bolivia"
"603" "Brazil" "603" "Brazil"
"604" "Chile" "604" "Chile"
"605" "Colombia" "605" "Colombia"
"606" "Cuba" "606" "Cuba"
"607" "Ecuador" "607" "Ecuador"
"608" "Falkland Islands" "608" "Falkland Islands"
"609" "The Guianas" "609" "The Guianas"
"611" "Paraguay" "611" "Paraguay"
"612" "Peru" "612" "Peru"
"613" "South Georgia and the South Sandwich Islands" "613" "South Georgia and the South Sandwich Islands"
"614" "Suriname" "614" "Suriname"
"615" "Uruguay" "615" "Uruguay"
"616" "Venezuela" "616" "Venezuela"
